n  Odd(n) time (ns)
5  5 1054
6  9 1877
7  17 2546
8  31 4163
9  57 9524
10  105 25431
11  193 27466
12  355 48771
13  653 89839
14  1201 157973
15  2209 51406
16  4063 32374
17  7473 65528
18  13745 119793
19  25281 215932
20  46499 407138
21  85525 443401
22  157305 718667
23  289329 712452
24  532159 1375293
25  978793 2626331
26  1800281 4302994
27  3311233 7895206
28  6090307 22057002
29  11201821 48226879
30  20603361 147596248
